1,カ変,カ変：こ　き　く　くる　くれ　こ・こよ
2,サ変,サ変：せ　し　す　する　すれ　せよ
3,ナ変,ナ変：な　に　ぬ　ぬる　ぬれ　ね
4,ラ変,ラ変：ら　り　り　る　れ　れ
